Year,County,GDP,Population,Violent,Property,Human Trafficking,Index Crime Total
2020,Spalding,1856349.0,67455.0,402,1699,0,2101
2020,Stephens,847825.0,26820.0,23,348,0,371
2020,Stewart,122600.0,5304.0,2,12,0,14
2020,Sumter,948438.0,29516.0,184,900,0,1084
2020,Talbot,132999.0,5726.0,7,28,0,35
2020,Taliaferro,25236.0,1562.0,0,2,0,2
2020,Tattnall,538352.0,24316.0,32,296,0,328
2020,Taylor,181557.0,7819.0,9,31,0,40
2020,Telfair,239224.0,12465.0,11,58,0,69
2020,Terrell,194370.0,9138.0,19,77,0,96
2020,Thomas,1897053.0,45785.0,141,947,0,1088
2020,Tift,1726568.0,41374.0,185,623,0,808
2020,Toombs,874434.0,27081.0,88,162,0,250
2020,Towns,318585.0,12545.0,15,74,0,89
2020,Treutlen,93208.0,6396.0,2,49,0,51
2020,Troup,3172866.0,69323.0,183,1783,0,1966
2020,Turner,194790.0,8983.0,10,60,0,70
2020,Twiggs,243529.0,8011.0,15,113,0,128
2020,Union,727223.0,24798.0,15,234,0,249
2020,Upson,614881.0,27740.0,16,78,0,94
2020,Walker,1305796.0,67742.0,197,935,7,1139
2020,Walton,2393280.0,97153.0,174,985,1,1160
2020,Ware,1195248.0,36225.0,166,890,0,1056
2020,Warren,147952.0,5208.0,2,7,0,9
2020,Washington,541524.0,19948.0,32,195,0,227
2020,Wayne,1009257.0,30145.0,0,0,0,0
2020,Webster,55630.0,2352.0,0,0,0,0
2020,Wheeler,93969.0,7447.0,4,31,0,35
2020,White,779039.0,28108.0,37,307,0,344
2020,Whitfield,5127365.0,102776.0,298,1117,2,1417
2020,Wilcox,139824.0,8792.0,10,62,0,72
2020,Wilkes,265538.0,9556.0,95,201,0,296
2020,Wilkinson,548694.0,8824.0,13,58,0,71
2020,Worth,321186.0,20738.0,61,272,0,333
2021,Appling,1449607.0,18411.0,59,210,0,269
2021,Atkinson,214131.0,8358.0,18,57,0,75
2021,Bacon,321024.0,11071.0,9,92,0,101
2021,Baker,67027.0,2827.0,0,0,0,0
2021,Baldwin,1245149.0,43671.0,323,1337,2,1662
2021,Banks,407681.0,18538.0,37,380,0,417
2021,Barrow,2198748.0,86672.0,174,1233,1,1408
2021,Bartow,4751466.0,110901.0,248,1914,0,2162
2021,Ben Hill,468279.0,17152.0,108,515,0,623
2021,Berrien,340390.0,18128.0,48,309,0,357
2021,Bibb,7611295.0,155985.0,1843,4691,6,6540
2021,Bleckley,212897.0,12255.0,45,179,0,224
2021,Brantley,232113.0,18121.0,49,333,2,384
2021,Brooks,462472.0,16285.0,27,122,0,149
2021,Bryan,1049356.0,46963.0,77,438,1,516
2021,Bulloch,2280420.0,80637.0,174,1182,0,1356
2021,Burke,2736235.0,24333.0,46,458,0,504
2021,Butts,676770.0,26114.0,51,278,0,329
2021,Calhoun,105246.0,5534.0,2,3,0,5
2021,Camden,1709991.0,55754.0,7,66,0,73
2021,Candler,252624.0,11000.0,22,186,0,208
2021,Carroll,4928255.0,121592.0,351,2419,0,2770
